Numer	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	tmin	tier	text	tmax	Mówca	Próbka	f1	f2	f3	f4	Max f1	Max f2	Max f3	Max f4	Min f1	Min f2	Min f3	Min f4	f1'	f2'	f3'	f4'
954721	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA - segmenty.txt	4,191851	informator	a	4,267228	K18-2001-Niedzica	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA	669,9667318	1655,411032	2568,571089	3845,450708	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,499784112	0,348655063	0,474343812	0,487671207
954538	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY - segmenty.txt	1,592982	informator	a	1,665523	M12-1998-Niedzica	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY	667,8594018	1358,171531	2357,113688	3737,614783	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,984181317	0,337809836	0,510708521	0,467430175
954027	M12-1998-Niedzica-244941-256010-tO,byŁ,wYkOpYwany,bO,tO,byŁ,dAwno - segmenty.txt	2,17176	eksplorator	a	2,242774	M12-1998-Niedzica	M12-1998-Niedzica-244941-256010-tO,byŁ,wYkOpYwany,bO,tO,byŁ,dAwno	661,0884081	1533,424255	2431,20198	3809,956344	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,965281125	0,563060079	0,609531438	0,656758154
1024523	M12-1998-Niedzica-244941-256010-tO,byŁ,wYkOpYwany,bO,tO,byŁ,dAwno - segmenty.txt	1,090968	eksplorator	a	1,208978	M12-1998-Niedzica	M12-1998-Niedzica-244941-256010-tO,byŁ,wYkOpYwany,bO,tO,byŁ,dAwno	655,4860353	1400,20048	2332,700216	3709,051365	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,949642959	0,391829145	0,478144529	0,392675714
954027	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	3,232619	informator	o	3,278514	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	654,0494546	1673,403869	2622,99185	3889,1166	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,478272264	0,377674846	0,57700564	0,559514944
954796	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali - segmenty.txt	5,514627	informator	a	5,59613	K18-2001-Niedzica	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali	648,1825286	1770,232603	2605,207263	3946,787925	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,470343243	0,533845271	0,543455976	0,654401898
954144	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	3,130775	informator	o	3,181149	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	645,8618853	1682,906124	2607,91579	3940,862004	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,467206945	0,393000579	0,548565466	0,644651947
	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY - segmenty.txt	1,778686	informator	a	1,828739	M12-1998-Niedzica	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY	643,2662775	1403,747571	2502,091279	3805,402399	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,915533377	0,396388178	0,704087366	0,644839844
1539348	M12-1998-Niedzica-226250-241410-neJI,tÉż,rÓżne,zEspoŁy,byŁy,JakbY,odgrYwaŁo - segmenty.txt	10,260168	informator	a	10,316665	M12-1998-Niedzica	M12-1998-Niedzica-226250-241410-neJI,tÉż,rÓżne,zEspoŁy,byŁy,JakbY,odgrYwaŁo	638,9212083	1578,510745	2540,617719	3755,617955	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,903404781	0,62100921	0,755475988	0,514546993
	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	7,757436	informator	ł	7,825281	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	627,2819018	1732,406075	2788,219383	3926,838709	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,442096508	0,472836676	0,888698465	0,621579341
